timestamp,Infrared to Red Signal Ratio
03/24/21 06:21:49,0
03/24/21 06:22:49,-31
03/24/21 06:23:50,-1
03/24/21 06:24:51,-1
03/24/21 06:25:51,25
03/24/21 06:26:51,0
03/24/21 06:27:51,8
03/24/21 06:28:51,-4
03/24/21 06:29:51,13
03/24/21 06:30:52,26
03/24/21 06:31:52,1
03/24/21 06:32:52,17
03/24/21 06:33:52,0
03/24/21 06:34:52,0
03/24/21 06:35:52,0
03/24/21 06:36:53,0
03/24/21 06:37:53,71
03/24/21 06:38:53,56
03/24/21 06:39:53,0
03/24/21 06:40:53,0
03/24/21 06:41:54,0
03/24/21 06:42:54,0
03/24/21 06:43:54,0
03/24/21 06:44:54,0
03/24/21 06:45:54,0
03/24/21 06:46:54,0
03/24/21 06:47:55,0
03/24/21 06:48:55,0
03/24/21 06:49:55,0
03/24/21 06:50:55,0
03/24/21 06:51:55,0
03/24/21 06:52:55,13
03/24/21 06:53:55,-17
03/24/21 06:54:55,0
03/24/21 06:55:56,-18
03/24/21 06:56:56,-37
03/24/21 06:57:56,-4
03/24/21 06:58:56,30
03/24/21 06:59:56,-76
03/24/21 07:00:56,-31
03/24/21 07:01:56,0
03/24/21 07:02:57,0
03/24/21 07:03:57,0
03/24/21 07:04:57,-33
03/24/21 07:05:57,0
03/24/21 07:06:57,13
03/24/21 07:07:57,0
03/24/21 07:08:57,0
03/24/21 07:09:58,-14
03/24/21 07:10:58,0
03/24/21 07:11:58,0
03/24/21 07:12:58,-6
03/24/21 07:13:58,28
03/24/21 07:14:58,-17
03/24/21 07:15:59,6
03/24/21 07:16:59,-56
03/24/21 07:17:59,-2
03/24/21 07:18:59,0
03/24/21 07:19:59,-18
03/24/21 07:20:59,0
03/24/21 07:22:00,-52
03/24/21 07:23:00,4
03/24/21 07:24:00,-38
03/24/21 07:25:00,67
03/24/21 07:26:00,-4
03/24/21 07:27:01,0
03/24/21 07:28:01,-4
03/24/21 07:29:01,0
03/24/21 07:30:01,36
03/24/21 07:31:01,0
03/24/21 07:32:01,-7
03/24/21 07:33:02,0
03/24/21 07:34:02,0
03/24/21 07:35:02,4
03/24/21 07:36:02,8
03/24/21 07:37:02,0
03/24/21 07:38:02,0
03/24/21 07:39:03,-55
03/24/21 07:40:03,-25
03/24/21 07:41:02,-2
03/24/21 07:42:03,0
03/24/21 07:43:03,-5
03/24/21 07:44:03,0
03/24/21 07:45:03,0
03/24/21 07:46:03,2
03/24/21 07:47:03,0
03/24/21 07:48:04,0
03/24/21 07:49:04,29
03/24/21 07:50:04,0
03/24/21 07:51:04,0
03/24/21 07:52:04,0
03/24/21 07:53:04,0
03/24/21 07:54:04,10
03/24/21 07:55:05,0
03/24/21 07:56:05,0
03/24/21 07:57:06,0
03/24/21 07:58:06,5
03/24/21 07:59:06,2
03/24/21 08:00:06,8
03/24/21 08:01:06,-7
